question,correct_answer,correct_index
In what type of dissociative disorder does the patient feel distanced as if he were an external observer of his body or mental processes ?:,None of the above,2
Amalia is a 3 year old girl who has been operated on tetralogy of Fallot. He also presented a thymic dysfunction in the neonatal period and a hypocalcemia as well as a nasal voice together with psychomotor retardation. What genetic test do you consider most appropriate to reach your etiological diagnosis?,None of the above,0
Nick oxide is synthesized from?,None of the above,0
Parasitic infestation which can lead to malabsorption syndrome?,None of the above,3
"In a patient diagnosed with pneumonia and with metaneumonic pleural effusion in 2/3 of the right hemithorax, which of the following sign associations is frequent to observe?",None of the above,2
"A 36-year-old woman, gravida 3, para 2, at 31 weeks' gestation comes to the emergency department because of painless, bright red vaginal bleeding for one day. She has not felt any contractions. Her other children were delivered by Cesarean section because of breech position. Fetal heart rate is reactive with no decelerations. Which of the following findings is most likely on ultrasound?",None of the above,2
Nucleus ambiguus is not associated with which cranial nerve:,None of the above,3
"A 50 years old patient presented with progressive jaundice. Liver function test was done in which conju!gated serum bilirubin-4.8% and total bilirubin-6.7%, alkaline phosphatase- 550 IU, SGOT-50, SGPT-65. Most probable diagnosis is;",None of the above,0
Linoleic acid is -,None of the above,1
"A 42-year-old man is being treated by his female family medicine physician for chronic depression. Recently, he has been scheduling more frequent office visits. He does not report any symptoms or problems with his SSRI medication during these visits. Upon further questioning, the patient confesses that he is attracted to her and says ""You are the only one in the world who understands me"". The physician also manages his hypertension. Which of the following is the most appropriate next step in management?",None of the above,1
"In a patient with obstructive jaundice, what is the possible explanation for a bilirubin level of 40 mg/dL?",None of the above,2
"A 39-year-old woman is brought to the emergency room by her fiancé for severe abdominal pain for the past 5 hours. She was watching TV after dinner when she felt a sudden, sharp, 10/10 pain at the epigastric region that did not go away. Ibuprofen also did not help. She reports recurrent abdominal pain that would self-resolve in the past but states that “this one is way worse.” Her past medical history is significant for diabetes and an appendectomy 2 years ago. The patient endorses nausea and 1 episode of emesis, but denies fevers, chills, chest pain, shortness of breath, diarrhea, constipation, urinary symptoms, paresthesia, or weakness. She used to smoke marijuana in college and drinks about 2 beers a week. A physical examination demonstrates an overweight woman in acute distress with diffuse abdominal tenderness. Her vitals are within normal limits. Laboratory values are shown below:

Hemoglobin: 12 g/dL
Hematocrit: 34%
Leukocyte count: 4,900/mm^3 with normal differential
Platelet count: 160,000/mm^3

Serum:
Na+: 138 mEq/L
Cl-: 98 mEq/L
K+: 4.8 mEq/L
HCO3-: 25 mEq/L 
Glucose: 123 mg/dL
Ca2+:  6.9 mg/dL
AST: 387 U/L
ALT: 297 U/L
ALP: 168 U/L
Lipase: 650 U/L (Normal 0 – 160 U/L)

What is the best next step in the workup of this patient?",None of the above,2
"Relieve pain patients on principle, Which statement is correct?",None of the above,1
Anti epileptic of choice in pregnancy is?,None of the above,3
Age of preoperational stage is,None of the above,1
Which of the following causes of malabsorption occurs with alteration of the intestinal mucosa ?:,None of the above,2
Gas chromatography is the method of choice for the separation of substances:,None of the above,0
What neurotransmitter has been associated with the development of Obsessive Compulsive Disorder ?:,None of the above,0
Stimulated saliva as compared to unstimulated saliva has more,None of the above,0
Indicate which of the following monoclonal antibodies has demonstrated its efficacy in the treatment of paroxysmal nocturnal hemoglobinuria:,None of the above,2
"3-grade homework Li Xiaodi recent setbacks, the teacher said he often trance in class, sometimes also moving around the mouth, I do not know what to eat; ask him afterwards, he was always very innocent, said: In the ""no ah!"" Please Li Xiaodi outpatient continuous deep breathing three minutes, the results do half of what he started in a daze. Following a check that Li Xiaodi most diagnosed disease?",None of the above,2
"The equation that describes the effect of the dielectric constant of the solvent on the velocity constant of the reactions in solution between ionic compounds, predicts that:",None of the above,3
The breath test for the diagnosis of Helicobacter pylori depends on the production by the bacteria of:,None of the above,1
"According to the model of the Big Five, in what dimension would an imaginative, creative woman, interested in new ideas and experiences, score high ?:",None of the above,1
The most characteristic feature of basal cell carcinoma is:,None of the above,2
Pain receptors are ?,None of the above,2
A patient presented with a steering wheel injury to the right side of chest with breathlessness and shock. How will you differentiate tension pneumothorax and cardiac tamponade?,None of the above,2
"68. ketoacidosis body of the patient ketone bodies (ketone body) is constituted by those of the following substances? ① acetyl acetic acid (acetoacetate) ②β- hydroxybutyric acid (β-hydroxybutyrate) ③ acetone (acetone) ④α- oxoglutarate (α-ketoglutarate)
",None of the above,2
"Presented edema, oliguria and frothy urine. He has no past history of similar complaints. On examination, his urine was positive for 3+ proteinuria, no RBCs/WBCs and no casts. His serum albumin was 2.5 gm/L and serum creatinine was 0.5 mg/dL. The most likely diagnosis is:",None of the above,0
"A 26 years old female presented with mild pain in lower abdomen. She has had 2 full-term normal delivery earlier. Her last menstrual period was 3 weeks back. On pelvic examination, you find a palpable mass in the adnexa. On USG pelvis, you find a 5 cm ovarian cyst. What should be your next step?",None of the above,0
Golgi bodies function as:,None of the above,2
"A 14-year-old Caucasian male of normal weight presents for a well-child checkup. During physical examination, his parents state that their son has been frequenting the bathroom more often than usual and his weight has decreased despite an increase in his caloric intake. Which of the following is most consistent with their son's symptoms?",None of the above,0
While treating patients with malignant hypeention the maximum allowed decrease in blood pressure in the first 2 - 6 hours should not exceed %,None of the above,2
"A 50-year-old man presents to his primary care doctor following an inguinal hernia repair. The patient reports no pain in his lower abdomen or groin, no constipation, and states that he enjoys his usual diet. He denies any use of alcohol, tobacco, or illicit drugs. He has returned to work as a cruise ship attendant. Preoperative workup included chest radiography which demonstrated an opacification in his right middle lobe. The patient agrees to undergo computed tomography (CT) of his chest without contrast for further evaluation. The radiologist reports an 8 mm nodule in the patient's peripheral right middle lobe that has regular margins and appears calcified. One year later, the patient obtains another chest CT without contrast that reports the nodule size as 10 mm with similar characteristics. What is the most appropriate next step in management?",None of the above,1
"Sequential arrangement question on JVP. Staing with ""a"" wave. A-First hea sound B-T wave C-R wave D-Rapid ejection phase",None of the above,2
Man-made dentin is:,None of the above,1
'Pica' (urge to eat non-edible things like mud or clay) is characteristically seen in:,None of the above,0
"A 45-year-old man presents to his primary care provider for two weeks of low-grade fever and sore throat. Upon further questioning, the patient is found to have unprotected sex with both men and women with 3-5 partners per month. On workup, he is found to have an HIV viral load of 15,000 copies/mL with a CD4+ of 170 cells/mm^3. He is started on medical therapy. What should be included in his medication regimen?",None of the above,2
Which of the following bacterial genetic elements necessarily encodes a transposase ?:,None of the above,0
What is the correct answer regarding cervical cancer ?:,None of the above,2
What is the thickness of cement-dentinal junction?,None of the above,1
"If the maxillary deciduous central incisors are over retained, the permanent central incisors erupt:",None of the above,0
Hyoid bone is at which vertebral level?,None of the above,1
Earliest valvular lesion in a case of acute rheumatic fever is –,None of the above,0
"Mario G. has undergone surgery and has undergone an esophagectomy due to esophageal cancer. In the postoperative period, tolerance begins with a liquid diet and Mario begins to have intense pain, fever and dyspnea. The nursing staff knows that these symptoms are indicative of:",None of the above,3
The property of amalgam that makes it undesirable to bevel occlusal margins of an amalgam cavity preparation is its:,None of the above,2
"A 42-year-old male was found in the neck and lower face has a prominent lump; and the patient complained of swallowing a foreign body sensation, speech can not speak for too long. After checking into the hospital, neck ultrasound found the left lobe of the thyroid echo of local low and associated with calcification, left cervical lymph nodes swollen. Blood tests show normal thyroid function, but calcitonin (Calcitonin) and carcinoembryonic antigen (CEA) are high. Which of the following is the most likely diagnosis?",None of the above,2
Halita a mouth wash includes:,None of the above,3
In Prinzmetal’s angina,None of the above,3
"A 38-year-old imprisoned man is brought to the physician after going on a hunger strike for 36 hours. During this time, he has only had two cups of water. Physical examination shows dry mucous membranes. His serum glucose concentration is 70 mg/dL. Which of the following enzymes contributes most to maintaining a normal serum glucose level in this patient?",None of the above,0
Which is derived from wolfian duct ?,None of the above,2
The following related osteoclasts (osteoclasts) of the statements is true?,None of the above,0
Laxative abuse causes which of the following renal stones ?,None of the above,1
Most useful test in vesicovaginal fistula?,None of the above,0
Complication of Benign Ovarian Cysts is ?,None of the above,3
"There is a baby boy found anorectal disease (imperforate anus) after birth, meconium with urine, he is that kind of disease?",None of the above,1
The joint which histologically & morphologically best simulate the TMJ is,None of the above,2
Which is the investigation of choice for staging of a lower limb sarcoma ?,None of the above,0
"Which of the following classification uses the ""canine law"" malocclusion in a sagittal direction",None of the above,1
Anti Jo-1 antibodies are a feature associated with?,None of the above,2
"Factor in the renewal of high blood coagulation state (hypercoagulable states), the risk of thrombosis Which of the following relative minimum?",None of the above,3
The following enzyme is responsible for thirst mechanism during dehydration?,None of the above,0
"A 27-year-old man presents to the emergency department after a motor vehicle collision. The patient was the front seat unrestrained driver in a head on collision. The patient’s echocardiogram (ECG) is notable only for sinus tachycardia. His temperature is 99.5°F (37.5°C), blood pressure is 107/58 mmHg, pulse is 120/min, respirations are 17/min, and oxygen saturation is 98% on room air. The patient is given 2 liters of Ringer lactate solution and morphine. Initial workup demonstrates that the patient’s pulmonary capillary wedge pressure and troponins are elevated. The patient is currently complaining of chest pain. Physical exam is notable for an uncomfortable young man with bruising over his chest wall. Which of the following is the most likely diagnosis?",None of the above,0
Point out the most common causative agent of community-acquired pneumonia:,None of the above,0
"A 72-year-old man comes to the physician because of a 2-month history of fatigue and worsening abdominal pain. During this period, he also has excessive night sweats and shortness of breath on exertion. Over the past 3 months, he has had a 5.6-kg (12-lb) weight loss. He had a myocardial infarction 3 years ago. He has hypertension, diabetes mellitus, and chronic bronchitis. His medications include insulin, aspirin, lisinopril, and an albuterol inhaler. He has smoked half a pack of cigarettes for the past 45 years. Vital signs are within normal limits. The spleen is palpated 6 cm below the left costal margin. Laboratory studies show:
Hemoglobin 6.4 g/dL
Mean corpuscular volume 85 μm3
Leukocyte count 5,200/mm3
Platelet count 96,000/mm3
A blood smear is shown. Bone marrow aspiration shows extensive fibrosis and a few scattered plasma cells. A JAK 2 assay is positive. Which of the following is the most appropriate next step in management?""",None of the above,3
"A 29-year-old primigravid woman at 35 weeks' gestation is admitted to the hospital in labor. She has no history of serious medical illness. She has had an uncomplicated pregnancy. Her last ultrasound at 22 weeks' gestation was normal. On admission, fetal heartbeats cannot be detected by fetal doppler monitor. Ultrasound shows decreased amniotic fluid levels and no evidence of fetal movement, respiration, or heart activity. The patient gives birth to a 2296 g (5 lb 1 oz) male infant. Physical examination shows no signs of life. There are no visible malformations. The placenta is unremarkable. Which of the following is the most appropriate next step in management?",None of the above,1
"A 60-year-old man with extensive ulcerative colitis of 15 years of evolution and in clinical remission in the last 3 years, comes to our consultation to learn about the risk of colorectal cancer and the possibility of participating in prevention programs. It is correct to inform you that:",None of the above,2
