question,correct_answer,correct_index
"Volkmanns contracture, which aery is involved",Brachial,1
"Computers have a part that serves to store the program that is running, its data and intermediate results while it is on; being this temporary storage since it is lost when turning off the computer. Indicate the name of the hardware element of the computer that is alluded to:",RAM.,0
"64-year-old woman, obese, with intense epigastric pain irradiated in belt, low-grade fever, marked hyperamylasemia, 48% hematocrit and discretely elevated serum creatinine. Abdominal CT shows a pancreas with diffuse enlargement, irregular contour, inflammation around the gland and an accumulation of intrapancreatic fluid. Which of these options is CERTAIN in relation to the management of the patient?",Resuscitation by energetic fluid therapy is basic in the treatment.,0
Ganer's cyst are seen at ?,Antero lateral vaginal wall,0
In Kreb's cycle and Urea cycle the linking amino acid is,Aspaate,3
"Good clinical practice is observed in all phases of clinical trials, EXCEPT?",Preclinical,0
What is the mechanism responsible for the excretion of drugs through the bile ?:,Active transport.,1
Only available depolarizing muscle relaxant is ?,Suxamethonium,1
TH17 lymphocytes:,Cooperate with TH1 in cellular immunity.,2
"An 8-year-old boy, because the gums black, examination revealed decreased cortisol, ACTH rise, the diagnosis of Addison's disease. Children with supplement regular cortisone acetate, but a year and a half after treatment and found that the phenomenon of regression of learning, and walking is not very stable. The following diagnostic follow-up found that what works best is unreasonable?",Family history analysis found that paternal relatives also have a boy onset,3
"When a patient to relieve anxiety makes a compulsive and poorly adaptive use of a substance, we say that it presents:",Addiction.,3
Multiple draining sinuses from the neck with sulphur granules is a feature of:,Actinomycosis,0
Second messenger for smooth muscle relaxation mediated by NO is:,cGMP,2
In relation to lipoproteins:,Chylomicrons are synthesized in the intestinal mucosa and contain Apo B-48.,0
"A process has been clinically suspected loss of vision and eye cancer, following surgery that is more suitable?",Enucleation (enucleation),1
In a partition chromatography (partition) in normal phase:,The mobile phase is relatively non-polar.,1
"A 37-year-old G1P1001 delivers a male infant at 9 pounds 6 ounces after a C-section for preeclampsia with severe features. The mother has a history of type II diabetes with a hemoglobin A1c of 12.8% at her first obstetric visit. Before this pregnancy, she was taking metformin, and during this pregnancy, she was started on insulin. At her routine visits, her glucose logs frequently showed fasting fingerstick glucoses above 120 mg/dL and postprandial values above 180 mg/dL. In addition, her routine third trimester culture for group B Streptococcus was positive. At 38 weeks and 4 days gestation, she was found to have a blood pressure of 176/103 mmHg and reported a severe headache during a routine obstetric visit. She denied rupture of membranes or vaginal bleeding. Her physician sent her to the obstetric triage unit, and after failure of several intravenous doses of labetalol to lower her blood pressure and relieve her headache, a C-section was performed without complication. Fetal heart rate tracing had been reassuring throughout her admission. Apgar scores at 1 and 5 minutes were 7 and 10. After one hour, the infant is found to be jittery; the infant's temperature is 96.1°F (35.6°C), blood pressure is 80/50 mmHg, pulse is 110/min, and respirations are 60/min. When the first feeding is attempted, he does not latch and begins to shake his arms and legs. After 20 seconds, the episode ends and the infant becomes lethargic. Which of the following is the most likely cause of this infant’s presentation?",ß-cell hyperplasia,0
Neutrophils (neutrophil) from the blood vessel into the tissue is first bound to the endothelial cells (endothelial cell) molecule:,E-selectin,0
Which of the following polycystic kidney disease (renal cystic disease) most commonly hepatic portal area fibrosis?,Children polycystic kidney disease (childhood polycystic kidney disease),0
Which of the following is true about WILSON disease,Low serum copper,2
APGAR acronym stands for?,"Appearance, pulse, grimace, activity, respiration",3
Experience worm Schistosoma japonicum (Schistosoma japonicum) that developmental stages of infection who?,Tail arterial larvae (cercaria),2
Which of the following drugs is used for treatment of cancer associated thromboembolism?,LMW heparin,0
"A man presents it n rashes on face and also complains of decreased mental function. He is also having few macular lesions on his skin. On CT scan, intracranial calcification was seen. His wife is normal. His 10-year old daughter is also normal but his 6-year old son is also having similar skin lesions. What would be the most likely diagnosis?",Autosomal dominant inheritance,3
"Which of the following pregnant women infected with the virus, most likely to cause congenital heart disease?",German measles virus,2
The final product of guanine catabolism in humans is:,Uric acid.,1
'Patch-clamp' is used for ?,To record flow in voltage gated channel,1
"Light cure system, side effect is:",Retinal damage,3
Brachycephaly is due to fusion of –,Coronal suture,3
"72.
 23-year-old male, no special medical history. Because of a sprained left knee, accidentally discovered the epiphysis (epiphysis) tumors. The figures are X-ray photography and computer tomography images, the most likely diagnosis why:
",giant cell tumor,1
Which is not constructed in the path of conduction hearing?,Based inner shoe (medial lemniscus),2
Studies on behavioral genetics around the main dimensions of personality show that:,The non-shared environment has more weight than the shared one.,3
Slowest blood flow is seen in ?,Capillaries,2
